Total.N,Sample,Type,N.mono,N.sesqui,N.arom,N.glv
12,12A,3.Fl,4,6,0,2
18,14B,3.Fl,5,9,1,3
15,16B,3.Fl,7,5,1,2
22,17A,3.Fl,11,9,0,2
13,18A,3.Fl,9,2,0,2
13,21A,3.Fl,5,5,1,2
15,22B,3.Fl,5,6,2,2
10,24A,3.Fl,4,4,1,1
14,2B,3.Fl,5,5,2,2
13,3A,3.Fl,4,6,1,2
11,4B,3.Fl,8,1,0,2
11,6A,3.Fl,4,4,1,2
15,12B,6.Fl,5,8,0,2
17,14A,6.Fl,5,9,1,2
15,16A,6.Fl,8,4,1,2
24,17B,6.Fl,12,10,0,2
16,18B,6.Fl,11,3,0,2
14,21B,6.Fl,6,6,0,2
18,22A,6.Fl,7,7,2,2
13,24B,6.Fl,5,5,1,2
13,2A,6.Fl,5,5,1,2
14,3B,6.Fl,3,8,1,2
13,4A,6.Fl,9,1,1,2
12,6B,6.Fl,6,4,0,2
