DATE,Sample,Peak#,Ret.Time,Proc.From,Proc.To,Mass,Area,Height,A/H,Conc.,Mark,Name
19-Nov,10A,1,3.517,3.418,3.635,TIC,1542623,705449,2.18,53.2,MI ,alpha.pinene
19-Nov,10A,2,4.549,4.505,4.592,TIC,57453,23408,2.45,1.98,MI ,beta.pinene
19-Nov,10A,3,5.265,5.24,5.293,TIC,35123,22479,1.56,1.21,MI ,beta.myrcene
19-Nov,10A,4,5.674,5.646,5.708,TIC,15547,11545,1.34,0.54,MI ,limonene
19-Nov,10A,5,6.211,6.177,6.26,TIC,7114,4256,1.67,0.25,MI ,gamma.terpinene
19-Nov,10A,6,6.79,6.762,6.849,TIC,78390,48218,1.62,2.7,MI ,acetoin
19-Nov,10A,7,7.02,6.975,7.067,TIC,162965,109917,1.48,5.62,MI ,cis.3.hexenyl.acetate
19-Nov,10A,8,7.71,7.671,7.739,TIC,33681,25278,1.33,1.16,MI ,cis.3.hexen.1.ol
19-Nov,10A,9,9.659,9.623,9.701,TIC,383678,257504,1.48,13.23,MI ,trans.beta.caryophyllene
19-Nov,10A,10,10.073,10.039,10.097,TIC,45791,38931,1.17,1.58,MI ,alloaromadendrene
19-Nov,10A,11,10.276,10.237,10.329,TIC,85272,50111,1.7,2.94,MI ,alpha.humulene
19-Nov,10A,12,10.399,10.378,10.421,TIC,21435,16970,1.26,0.74,MI ,beta.cadinene
19-Nov,10A,13,10.594,10.566,10.624,TIC,105240,70392,1.49,3.63,MI ,germacrene.D
19-Nov,10A,14,10.682,10.663,10.711,TIC,57799,40294,1.43,1.99,MI ,beta.longipinene
19-Nov,10A,15,10.794,10.779,10.817,TIC,14932,12797,1.16,0.51,MI ,unknown.C15H24.2
19-Nov,10A,16,10.937,10.909,10.962,TIC,218302,158102,1.38,7.53,MI ,gamma.cadinene
19-Nov,10A,17,10.976,10.962,11.001,TIC,34298,27520,1.24,1.18,MI ,unknown.C15H24.3
19-Nov,10B,1,3.539,3.48,3.65,TIC,8779303,4550212,1.92,10.37,MI ,alpha.pinene
19-Nov,10B,2,4.524,4.486,4.616,TIC,528057,232301,2.27,0.62,MI ,beta.pinene
19-Nov,10B,3,4.719,4.698,4.771,TIC,71705,27204,2.63,0.08,MI ,sabinene
