Order,Run.Num,Run.Date,Run.Plant,Flower number,Site,Site.Type,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha tirpenene,er.alpha tirpenolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexen 1 ol,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma tirpenene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.naphthalene,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown sesqui,er.veratrole,er.verbenone,N.compounds,
1,55,17-Nov,6,6,GUL,One,Cyl,4,0,0,0,0,0,0,0.000504895,1.34E-05,0,0,0,0,0.00E+00,0.00E+00,0.001169806,0,0.000381389,0,0,0,0,0,0,0.000319331,0,0.000457248,0,0,0,0,0,0,0.003661638,0.000583176,0,0,0,0,0.000217484,0,0,0,0,0,0.009970828,0.000451904,0.01470919,0,0,0,0,0,0,0,12,
2,56,17-Nov,8,7,GUL,One,Cyl,5,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.001321869,0,0.000322765,0,0,0,0,0,0,0.000359361,0,0.00E+00,0,0,0,0,0,0,0.005005269,0,0,0,0,0,0.000149444,0,0,0,0,0,0.008065924,0.000249012,0,0,0,0,0,0,0,0,7,
3,105,20-Nov,17,8,GUL,One,Cyl,3,0,0,0,0,0,0,0,0.000183998,0,0,0,0,0.00E+00,0,0.000940888,0,0.000379453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001063907,0,0,0,0,0,0.000267577,0,0,0,0,0,0,0.002133226,0,0,0,0,0,0,0,0,6,
4,124,30-Nov,14,11,GUL,One,Cyl,6,0.000513624,0,0,0,0.001155567,0,0,0,0,6.02E-05,0.001191621,0,0.00E+00,0.000533135,0.002012216,0,0,0,0.005075858,0,0,0,0,0.000124955,0,0.00E+00,0,0,0,0,0,0.00063057,0.008746925,0.001476355,0,0,0,0,0.000364718,0,0,0,0,0,0,0,0,1.86E-05,0,0,0,0,0,0,13,
5,134,1-Dec,2,10,GUL,One,Cyl,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.002240098,3.70E-05,0.000634728,0.00E+00,0.00E+00,0,0,0,0,0.000269653,0,0.000508681,0,0,0,0,6.26E-06,0,0.007245698,0.001138293,0,0,0,0.000221225,0.000634137,0,0,0,0,0,0,0.000109124,0.009168155,0,0,0,0,5.96E-05,0,0,13,
6,155,6-Dec,8,7,GUL,One,Cyl,1,0.000805495,0,0,0,0,0,0,0,0,0,0,0,0,0.001161383,0.002480913,0,0.000609191,0.00E+00,0,0,0,0,0,0.00052977,0,0,0,0,0,0,0,0,0.004873298,0,0,0,0,0,0.000635611,0,0,0,0,0,0.001145332,0.000252903,0,0,0,0,0,0,0,0,9,
7,157,6-Dec,10,10,GUL,One,Cyl,11,0.000525052,0,0,0,0,0,0,0,0,3.65E-06,0,0,0.00E+00,0.001099087,0.001659602,0,0.000300451,0,0.00E+00,0,0,0,0,0.001106675,0,0,6.20E-05,0,0,0,0,0,0.003419428,0,0,0,0,0,0.000492681,0,0,0,0,0,0.000892471,0,0,0,0,0,0,5.45E-05,0,0,11,
8,169,15-Dec,4,7,GUL,One,Cyl,12,0,0,0,0,0,0,0,0,0,0,0.000179115,0,0.00E+00,0.000900414,0.001904071,0,0,0.00E+00,0,0,0,0,0,0.000800669,0,0.000253197,0,0,0,0,0,0,0.003721408,0,0,0,0,0,0.000222391,0,0,0,0,0,0.001446983,0,0.003167239,0,0,0,0,0,0,0,9,
9,178,12-Jan,5,13,GUL,One,Cyl,20,0,0,0,5.99E-05,0,0.000118413,0,9.68E-05,0,0.000119835,0,0,0.000241193,0,0.001820446,0,0.00048836,0,0,0.00E+00,0,0,0,0,0,0.000264599,0,0,0,0,0,0,0.004651037,0,0,0,0,0.00058344,0.00067525,0,0,0.00E+00,0,0,0.000643145,0.001266785,0.005480367,0,0,0,0,0.000312526,8.09E-05,0,16,
10,252,20-Jan,7,7,GUL,One,Cyl,29,0,0,0,0,0.000503923,0.000126529,0,0,0,0,2.07E-05,0,0,0,0.002180249,0,0.000890965,1.77E-05,0,0,0,0,0,0.001869362,0,0,0,0,0,0,0,0,0.011485147,0.000151654,0,0,0,0,0.000847934,0,0,0.00E+00,0,0,0.000576167,0,0,0.000176932,0,0,0,7.84E-05,0,0,13,
11,261,20-Jan,16,7,GUL,One,Cyl,33,0,0,0,0,0.000855406,0.000159706,0.000582654,9.95E-05,0,0,0,0,0,0,0.004790934,0,0.001580246,0,0,0,0,3.94E-05,0,0.000487592,0,0.00E+00,0,0,8.37E-05,0,0,0,0.011433947,0.000434126,0,0,0,0,0.000840171,0,0,0,0,0,0.001791896,0.00208232,0,0.00020041,0,0,0,0.000210771,0,0,16,
12,268,22-Jan,6,7,GUL,One,Cyl,28,0,0,0,0,0,6.18E-05,0,0,0,0,0,0,0,0,0.002310198,0,0.000691444,0,0,0,0,0,0,0.001452642,0,0,0,0,0,0,0,0.000688583,0.012285745,0,0,0,0,0,0.000435614,0,0,0.00E+00,0,0,0,0.000324727,0.002737418,0.000280599,0,0,0,0.000192705,2.24E-05,0,12,
13,297,29-Jan,4,9,GUL,One,Cyl,34,0.000724708,6.36E-05,0,0,0,9.35E-05,0.000746324,0.000348793,0,0,0,0,0,0,0.004148356,0,0.000999771,0,0,0,0,0.00014512,0,0,0,0.001145276,0.000231541,0,0,0.00E+00,0,0,0.011834102,0,0.000143871,0,0,0,0.000776946,0,0,0,0,0,0,0.003672567,0.002863849,0,0,0.000371935,0,0.000240024,7.99E-05,0,18,
14,301,29-Jan,8,8,GUL,One,Cyl,35,0,0,0,3.05E-05,0,8.13E-05,0,5.40E-05,0,0,0,0,0,0,0.003199778,0,0.000853627,0,0,0,0,0,1.08E-05,0,0,0.000450077,0,0,5.40E-05,0.00E+00,0,0,0.007996526,0,0,0,0,0.000250303,0.000632144,0,0,0,0,0,0.001022444,0.001400817,0.00745653,0,0,0,0,5.84E-05,0,0,15,
15,302,29-Jan,9,9,GUL,One,Cyl,30,0,0,0,0,0,9.68E-05,6.03E-05,3.92E-06,0,0,0,0,0,0,0.00295858,0,0.000807058,0,0,0,0,0,0,0.000555876,0,0.000188528,0,0,0,0.00E+00,0,0,0.007577739,0,6.63E-05,0,0,0,0.000594356,0,0,0.00E+00,0,0,0,0.000661626,0.003248768,0,0,0.000157529,0,0.00017917,0,0,14,
