Order,Run.Num,Run.Date,Run.Plant,Flower number,Avg mass,Total.mass,Site.Type,Site,Species,Plant,er.1 hexanol,er.2-amino phenyl ethenone,er.2-phenyl ethanol,"er.2,6-dimethyl-1,3,5,7 octatetraene (trans)",er.6-methyl-5-hepten-2-one,er.alloaromadendrene,er.alpha bergamotene,er.alpha humulene,er.alpha pinene,er.alpha terpineol,er.alpha terpinene,er.alpha terpinolene,er.benzyl acetate,er.benzyl alcohol,er.beta cadinene,er.beta farnesene,er.beta longipinene,er.beta myrcene,er.beta phellandrene,er.beta pinene,er.borneol,er.caryophyllene oxide,er.cinnamic alcohol,er.cis 3 hexen 1 ol,er.cis 3 hexenyl acetate,er.cis beta ocimene,er.cis jasmone,er.DMNT,er.gamma cadinene,er.gamma terpinene,er.geraniol,er.germacrene D,er.intermedeol,er.limonene,er.linalool,er.methyl nicotinate,er.methyl salicylate,er.myroxide,er.unknown C15H24.3,er.para cymene,er.patchoulane,er.sabinene,er.sabinene hydrate,er.terpinen-4-ol,er.trans 2 hexen 1 ol,er.trans beta caryophyllene,er.trans beta ocimene,er.trans cinnamic aldehyde,er.trans DMNT,er.trans trans alpha farnesene,er.unknown C15H24,er.unknown C15H24.2,er.veratrole,er.verbenone
1,55,17-Nov,6,6,0.09565,0.5739,One,GUL,Cyl,4,0,0,0,0,0,0,0.005278571,0.000140163,0,0,0,0,0,0,0.012230064,0,0.003987339,0,0,0,0,0,0,0.003338532,0,0.004780424,0,0,0,0,0,0,0.038281626,0.006096976,0,0,0,0,0.002273753,0,0,0,0,0,0.104242849,0.004724562,0.153781392,0,0,0,0,0,0,0
2,56,17-Nov,8,7,0.09565,0.66955,One,GUL,Cyl,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01381985,0,0.003374443,0,0,0,0,0,0,0.003757043,0,0,0,0,0,0,0,0,0.052329001,0,0,0,0,0,0.001562403,0,0,0,0,0,0.084327484,0.002603364,0,0,0,0,0,0,0,0
3,105,20-Nov,17,8,0.09565,0.7652,One,GUL,Cyl,3,0,0,0,0,0,0,0,0.001923657,0,0,0,0,0,0,0.009836784,0,0.003967102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011122915,0,0,0,0,0,0.002797464,0,0,0,0,0,0,0.02230242,0,0,0,0,0,0,0,0
4,124,30-Nov,14,11,0.09565,1.05215,One,GUL,Cyl,6,0.005369831,0,0,0,0.012081202,0,0,0,0,0.000629358,0.012458138,0,0,0.00557381,0.021037277,0,0,0,0.053066997,0,0,0,0,0.001306379,0,0,0,0,0,0,0,0.006592473,0.091447206,0.015434973,0,0,0,0,0.003813048,0,0,0,0,0,0,0,0,0.000194946,0,0,0,0,0,0
5,134,1-Dec,2,10,0.09565,0.9565,One,GUL,Cyl,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02341974,0.000386538,0.006635946,0,0,0,0,0,0,0.002819164,0,0.005318153,0,0,0,0,6.55E-05,0,0.075752204,0.011900611,0,0,0,0.00231286,0.00662977,0,0,0,0,0,0,0.001140865,0.095851069,0,0,0,0,0.000622926,0,0
6,155,6-Dec,8,7,0.09565,0.66955,One,GUL,Cyl,1,0.008421279,0,0,0,0,0,0,0,0,0,0,0,0,0.01214201,0.025937403,0,0.006368955,0,0,0,0,0,0,0.005538627,0,0,0,0,0,0,0,0,0.050949269,0,0,0,0,0,0.006645177,0,0,0,0,0,0.011974197,0.002644043,0,0,0,0,0,0,0,0
7,157,6-Dec,10,10,0.09565,0.9565,One,GUL,Cyl,11,0.005489304,0,0,0,0,0,0,0,0,3.82E-05,0,0,0,0.011490711,0.017350776,0,0.003141146,0,0,0,0,0,0,0.01157005,0,0,0.000648346,0,0,0,0,0,0.035749374,0,0,0,0,0,0.005150877,0,0,0,0,0,0.009330592,0,0,0,0,0,0,0.000569705,0,0
8,169,15-Dec,4,7,0.09565,0.66955,One,GUL,Cyl,12,0,0,0,0,0,0,0,0,0,0,0.00187261,0,0,0.009413634,0.019906644,0,0,0,0,0,0,0,0,0.00837082,0,0.002647115,0,0,0,0,0,0,0.038906511,0,0,0,0,0,0.002325046,0,0,0,0,0,0.015127893,0,0.033112801,0,0,0,0,0,0,0
9,178,12-Jan,5,13,0.09565,1.24345,One,GUL,Cyl,20,0,0,0,0.000625908,0,0.001237983,0,0.00101208,0,0.001252844,0,0,0.002521624,0,0.019032363,0,0.005105699,0,0,0,0,0,0,0,0,0.002766329,0,0,0,0,0,0,0.048625584,0,0,0,0,0.006099736,0.007059588,0,0,0,0,0,0.006723945,0.013243964,0.057296052,0,0,0,0,0.003267394,0.000845853,0
10,252,20-Jan,7,7,0.09565,0.66955,One,GUL,Cyl,29,0,0,0,0,0.005268405,0.001322836,0,0,0,0,0.000215974,0,0,0,0.022794032,0,0.00931485,0,0,0,0,0,0,0.019543779,0,0,0,0,0,0,0,0,0.120074719,0.001585512,0,0,0,0,0.008864969,0,0,0,0,0,0.006023705,0,0,0.001849783,0,0,0,0.000819153,0,0
11,261,20-Jan,16,7,0.09565,0.66955,One,GUL,Cyl,33,0,0,0,0,0.008943088,0.001669695,0.006091524,0.001040284,0,0,0,0,0,0,0.050088171,0,0.016521133,0,0,0,0,0.000411494,0,0.005097666,0,0,0,0,0.000875383,0,0,0,0.119539434,0.004538688,0,0,0,0,0.008783807,0,0,0,0,0,0.018733885,0.021770205,0,0.002095238,0,0,0,0.002203564,0,0
12,268,22-Jan,6,7,0.09565,0.66955,One,GUL,Cyl,28,0,0,0,0,0,0.000645604,0,0,0,0,0,0,0,0,0.024152617,0,0.007228901,0,0,0,0,0,0,0.015187058,0,0,0,0,0,0,0,0.007198988,0.128444797,0,0,0,0,0,0.004554248,0,0,0,0,0,0,0.003394947,0.028619117,0.002933603,0,0,0,0.002014693,0.000233903,0
