Plant,Site,Species,Compound,Type,Con
GRCO Ung 11,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.00326555
GRCO Ung 12,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.003558682
GRCO Ung 14,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.012636411
GRCO Ung 15,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.008931725
GRCO Ung 17,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.006698934
GRCO Ung 18,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.008219753
GRCO Ung 2,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.016550032
GRCO Ung 6,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.002053294
GRCO Ung 7,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.005431883
GRCO Ung 9,GRCO,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.0075033
MCK Cyl 1,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0
MCK Cyl 11,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.006203975
MCK Cyl 12,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.008128612
MCK Cyl 15,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.04330055
MCK Cyl 17,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.010268225
MCK Cyl 18,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.006525278
MCK Cyl 20,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.006244403
MCK Cyl 3,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.004663636
MCK Cyl 5,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.010941798
MCK Cyl 6,MCK,Cyl,cis 3 hexen 1 ol,Con.N.t.mass,0.004379094
MCK Ung 1,MCK,Ung,cis 3 hexen 1 ol,Con.N.t.mass,0.045976512
