Plant,Site,Species,N.fl.N,Mass.fl.N,N.fl.W,Mass.fl.W,Compound,Con.N,Con.N.mass,Con.N.time,Con.N.t.mass,Con.W,Con.W.mass,Con.W.time,Con.W.t.mass,Difference
GRCO Ung 11,GRCO,Ung,6,0.73488,7,0.85736,cis 3 hexen 1 ol,0.000261795,0.014398725,0.002399788,0.00326555,0.000763545,0.041994975,0.006999163,0.008163621,0.004898071
GRCO Ung 12,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexen 1 ol,0.000285295,0.015691225,0.002615204,0.003558682,0.001323545,0.072794975,0.012132496,0.016509493,0.012950811
GRCO Ung 14,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexen 1 ol,0.001013045,0.055717475,0.009286246,0.012636411,0.005103045,0.280667475,0.046777913,0.063653811,0.0510174
GRCO Ung 15,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexen 1 ol,0.000716045,0.039382475,0.006563746,0.008931725,0.001271795,0.069948725,0.011658121,0.015863979,0.006932254
GRCO Ung 17,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexen 1 ol,0.000537045,0.029537475,0.004922913,0.006698934,0.001655545,0.091054975,0.015175829,0.020650758,0.013951824
GRCO Ung 18,GRCO,Ung,7,0.85736,7,0.85736,cis 3 hexen 1 ol,0.000768795,0.042283725,0.007047288,0.008219753,0.001628045,0.089542475,0.014923746,0.017406627,0.009186874
GRCO Ung 2,GRCO,Ung,6,0.73488,6,0.73488,cis 3 hexen 1 ol,0.001326795,0.072973725,0.012162288,0.016550032,0.001327545,0.073014975,0.012169163,0.016559387,9.35527E-06
GRCO Ung 6,GRCO,Ung,7,0.85736,7,0.85736,cis 3 hexen 1 ol,0.000192045,0.010562475,0.001760413,0.002053294,0.001793795,0.098658725,0.016443121,0.019178782,0.017125488
GRCO Ung 7,GRCO,Ung,7,0.85736,8,0.97984,cis 3 hexen 1 ol,0.000508045,0.027942475,0.004657079,0.005431883,0.000676545,0.037209975,0.006201663,0.00632926,0.000897377
GRCO Ung 9,GRCO,Ung,9,1.10232,8,0.97984,cis 3 hexen 1 ol,0.000902295,0.049626225,0.008271038,0.0075033,0.001267295,0.069701225,0.011616871,0.011855886,0.004352586
MCK Cyl 1,MCK,Cyl,7,0.709835,10,1.01405,cis 3 hexen 1 ol,0,0,0,0,0.001646545,0.090559975,0.015093329,0.014884206,0.014884206
MCK Cyl 11,MCK,Cyl,8,0.81124,8,0.81124,cis 3 hexen 1 ol,0.000549045,0.030197475,0.005032913,0.006203975,0.001196295,0.065796225,0.010966038,0.013517624,0.007313649
MCK Cyl 12,MCK,Cyl,9,0.912645,7,0.709835,cis 3 hexen 1 ol,0.000809295,0.044511225,0.007418538,0.008128612,0.001262545,0.069439975,0.011573329,0.016304253,0.00817564
MCK Cyl 15,MCK,Cyl,7,0.709835,8,0.81124,cis 3 hexen 1 ol,0.003353045,0.184417475,0.030736246,0.04330055,0.004232295,0.232776225,0.038796038,0.047823132,0.004522582
MCK Cyl 17,MCK,Cyl,6,0.60843,6,0.60843,cis 3 hexen 1 ol,0.000681545,0.037484975,0.006247496,0.010268225,0.002836295,0.155996225,0.025999371,0.042731902,0.032463677
MCK Cyl 18,MCK,Cyl,7,0.709835,7,0.709835,cis 3 hexen 1 ol,0.000505295,0.027791225,0.004631871,0.006525278,0.001541295,0.084771225,0.014128538,0.019903974,0.013378696
