Order,Sample,er.1.hexanol,er.2.6.dimethyl.1.3.5.7.octatetraene,er.2.amino.phenyl.ethenone,er.6.Methyl.5.heptene.2.one,alloaromadendrene,alpha.humulene,alpha.pinene,alpha.terpinene,alpha.terpineol,alpha.terpinolene,benzyl.alcohol,bergamotene,beta.cadinene,beta.longipinene,beta.myrcene,beta.phellandrene,beta.pinene,beta.sesquiphellandrene,cis.3.hexen.1.ol,cis.3.hexenyl.acetate,cis.beta.ocimene,cis.DMNT,gamma.cadinene,gamma.terpinene,germacrene.D,intermedeol,limonene,linalool,methyl.salicylate,myroxide,para.cymene,sabine.hydrate,sabinene,terpinene.4.ol,trans.2.hexen.1.ol,trans.beta.caryophyllene,trans.beta.ocimene,trans.trans.alpha.farnesene,unknown.C15H24.1,unknown.C15H24.2,unknown.C15H24.3,veratrole,verbenone,Site,Species,Type
1,10A,0,0,0,0,45791,85272,1542623,0,0,0,0,0,21435,57799,35123,0,57453,0,33681,162965,0,0,218302,7114,105240,0,15547,0,0,0,0,0,0,0,0,383678,0,0,0,14932,34298,0,0,CB323,Ung,Petals
2,10B,0,0,0,0,66792,96397,8779303,98111,0,12218,0,0,22919,78690,445798,37356,528057,0,1283995,71110962,0,0,265091,160880,467452,0,257494,0,10297,0,79449,0,71705,20018,0,574974,13338,0,0,52757,33023,0,0,CB323,Ung,Not Petals
3,11A,0,0,0,0,0,0,12553613,212838,0,41651,0,0,0,0,598960,85195,1143191,0,673509,43077739,0,0,20513,344489,45509,0,487290,58206,0,0,44545,0,176339,87261,0,41444,0,0,0,0,0,0,0,SC,Ung,Not Petals
4,11B,0,0,0,0,0,0,34464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SC,Ung,Petals
5,12A,0,0,0,0,49478,41524,0,0,0,0,0,0,0,0,107789,0,0,0,255176,9919423,425760,0,105399,0,108297,0,1361,0,0,0,0,0,0,0,0,243989,20871689,0,0,22731,0,0,0,SC,Ung,3.Fl
6,12B,0,0,0,0,50279,49538,0,0,0,0,0,0,11449,0,192266,0,0,0,269883,16565504,609724,0,81970,0,31101,0,6899,0,0,30983,0,0,0,0,0,286188,36017935,0,0,20508,10915,0,0,SC,Ung,6.Fl
7,13A,0,0,0,0,0,0,0,0,0,0,0,484278,0,0,3268,0,0,49945,0,0,21553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727790,0,0,0,0,41102,0,SC,Cyl,Petals
8,13B,30263,0,0,0,45572,301152,20610,0,0,0,45397,519445,499796,45115,107443,19061,15725,0,353804,398606,27276,1625114,213146,0,83089,1086711,110927,0,0,0,0,0,0,0,0,2234812,940460,0,0,0,0,32106,0,SC,Cyl,Not Petals
9,14A,0,0,0,0,29057,130981,0,0,0,0,98878,206618,407836,0,213624,5871,0,0,303509,73809,557378,515825,96808,0,91572,322862,0,0,0,0,0,0,0,0,0,705765,20191864,0,0,13400,0,0,0,SC,Cyl,6.Fl
10,14B,32805,0,0,0,26211,144058,0,0,0,0,111374,187872,433745,0,106906,4637,0,0,226920,565727,382432,455594,0,0,74458,481327,0,0,0,0,0,0,0,0,0,760343,13307755,0,0,5446,104643,0,0,SC,Cyl,3.Fl
11,15A,0,0,0,0,0,0,262752,0,0,0,0,0,0,0,0,0,6992,0,36280,51820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19750,0,0,0,0,0,0,0,CB323,Ung,Petals
