Class,Class notes,Present in dynamic headspace,cylindrica headspace samples,unguiculata headspace samples,Present in SPME,Compound name,IUPAC,"RT, min.",KI,Published KI,Standard run?,Percent match with library,Mass spectra for tentatively identified compounds and unknowns:,Compound for standardization
Green Leafy Volatile,,x,36,51,x,1 hexanol,Hexan-1-ol,7.526,1374,1325,Authentic standard,,,
Aromatics/Nitrogen,,x,1,82,x,2-amino phenyl ethanone,1-(2-aminophenyl)ethanone,14.399,2265,,Authentic standard,,,
Aromatics/Nitrogen,,x,4,14,,2-phenylethanol,2-Phenylethan-1-ol,12.268,1936,1873,,97%,"50 (7.0), 51 (12.1), 63 (8.5), 65 (26.4), 77 (6.3), 78 (6.2), 91 (100), 93 (4.7), 92 (56.3), 122 (20.9)",
Monoterpenoids,unsaturated monoterpene,x,16,49,x,"2,6-dimethyl-1,3,5,7 octatetraene (trans)","(3E,5E)-2,6-dimethylocta-1,3,5,7-tetraene",8.457,1466,,,<90% (low 80s),"41 (51.2), 55 (28.2), 57 (100), 65 (20.7), 77 (38.6), 79 (31.4), 91 (96.8), 105 (19.5), 119 (63.4), 134 (35.0) ",
Monoterpenoids,irregular terpenoid,x,41,36,x,6-methyl-5-hepten-2-one ,6-methylhept-5-en-2-one,7.408,1356,1319,,96%,"41 (51.2), 43 (100), 53 (7.6), 55 (32.2), 58 (14.7), 69 (21.9), 93 (7.6), 108 (18.9), 111 (7.4), 126 (2.0)",
Sesquiterpenes and C15 derivatives,,x,47,22,x,alloaromadendrene,"(4aS,7R,7aR)-1,1,7-trimethyl-4-methylidene-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulene",10.365,1669,1639,Authentic standard,,,
Sesquiterpenes and C15 derivatives,,x,46,15,x,alpha bergamotene,"4,6-dimethyl-6-(4-methylpent-3-enyl)bicyclo[3.1.1]hept-3-ene",9.783,1616,,,93%,"41 (72.4), 55 (43.2), 69 (36.8), 77 (35.9), 79 (35.2), 91 (44.5), 93 (100), 105 (25.5), 107 (30.4), 119 (83.8)",
Sesquiterpenes and C15 derivatives,,x,65,42,x,alpha humulene,"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene",10.528,1699,1641; 1663,Authentic standard,,,
Monoterpenoids,,x,8,68,x,alpha pinene,"4,6,6-trimethylbicyclo[3.1.1]hept-3-ene",4.009,1013,1092; 1034,Authentic standard,,,
Monoterpenoids,,x,20,16,x,alpha terpinene,"1-methyl-4-propan-2-ylcyclohexa-1,3-diene",5.296,1155,1178,,93%,"41 (43.2), 43 (19.4), 53 (19.9), 77 (51.6), 79 (50.2), 91 (56.6), 93 (100), 105 (23.0), 121 (70.6), 136 (33.6)",
Monoterpenoids,Terpene alcohol,x,27,30,x,alpha terpineol,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,10.648,1722,1661; 1669,Authentic standard,,,
Monoterpenoids,,x,3,10,x,alpha terpinolene,1-methyl-4-propan-2-ylidenecyclohexene,6.865,1302,1275,,<90%,"45 (56.3), 51 (8.8), 58 (75.8), 77 (43.5), 79 (45.3), 91 (53.0), 93 (100), 105 (19.1), 121 (60.7), 136 (49.1) ",
Aromatics/Nitrogen,Ester,x,24,39,,benzyl acetate,benzyl acetate,10.911,1755,,,91%,"43 (81.7), 51 (27.3), 65 (25.4), 77 (32.5), 79 (41.9), 89 (21.5), 90 (24.3), 91 (75.8), 108 (100), 150 (24.9)",
Aromatics/Nitrogen,,x,67,32,x,benzyl alcohol,phenylmethanol,12.001,1910,1837,Authentic standard,,,benzyl alcohol
